<http://dbpedia.org/resource/Louis_XVIII_of_France> ?x	?y
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Westphalia>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Napoleonic_Wars>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Low_Countries>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/United_Kingdom_of_the_Netherlands>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Right_of_asylum>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Napoleon_I_of_France>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Hamburg>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Gothenburg>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Wheelchair>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Alexandre_Dumas>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Alexandre_Dumas,_p%C3%A8re>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Koblenz>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Charles_Maurice_de_Talleyrand-P%C3%A9rigord>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/House_of_Habsburg>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Rh%C3%B4ne>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1988>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/2007>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Louis_Philippe_I>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/2001>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1999>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1997>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1993>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1969>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1948>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1942>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1944>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1996>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1998>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1990>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1961>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1956>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1893>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1991>
