<http://dbpedia.org/resource/Napoleon> ?x	?y
<http://www.w3.org/2000/01/rdf-schema#label>	"Napoléon Ier"@fr
<http://www.w3.org/2000/01/rdf-schema#label>	"Napoleone Bonaparte"@it
<http://www.w3.org/2000/01/rdf-schema#label>	"Napoleon Bonaparte"@nl
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.napoleon-series.org/>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.questia.com/PM.qst?a=o&d=10369968>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://gallica.bnf.fr/>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.amazon.com/Napoleon-Path-Power-Philip-Dwyer-ebook/dp/B00280LN5G/>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.amazon.com/Citizen-Emperor-Napoleon-Philip-Dwyer-ebook/dp/B00GGSG3W4/>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.pbs.org/empires/napoleon/home.html>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.amazon.com/Napoleon-Penguin-Lives-Paul-Johnson/dp/0670030783/>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.amazon.co.uk/Napoleon-Frank-McLynn/dp/0712662472>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.amazon.com/Napoleons-Military-Machine-Philip-Haythornthwaite/dp/0870525492/>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.clinchem.org/cgi/reprint/54/12/2092>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://books.google.com/?id=UBilaKRKkC&pg=PA11>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://heinonline.org/HOL/LandingPage?collection=journals&handle=hein.journals/ijli28&div=12&id=&page=>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://web.ebscohost.com/ehost/viewarticle?data=dGJyMPPp44rp2%2fdV0%2bnjisfk5Ie42eqLtaashd%2ff7Ebj3u2L8ravSq2otEewpq9Lnq64SrewsFCet8s%2b8ujfhvHX4Yzn5eyB4rOrSbSptUmyqLdMt5zqeezdu33snOJ6u97neaTq33%2b7t8w%2b3%2bS7S7Ovs0mxp7Q%2b5OXwhd%2fqu4ji3MSN6uLSffbq&hid=4207>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.questia.com/library/7932602/napoleon-for-and-against>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://ecommons.usask.ca/handle/10388/etd-07202010-132035>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://ecommons.usask.ca/bitstream/handle/10388/etd-07202010-132035/Nutting_Sinclair_Holmes_sec_1950.pdf?sequence=1>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.napoleonguide.com/index.htm>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.napoleonicsociety.com/>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.inside-longwood.com/inside-longwood-chronology.html>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.inside-longwood.com/index.html>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.booknotes.org/Watch/91435-1/Alan+Schom.aspx>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.souvenirnapoleonien.org/>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://notices.bnf.fr/AfficherNoticeServlet?idNotice=30943134>
