SELECT ?x ?y WHERE 
{ 
	 ?x ?y <http://dbpedia.org/resource/Napoleon>.
<http://dbpedia.org/resource/Head_of_state>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Inquisition>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Marlon_Brando>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Academy_Award_for_Best_Actor>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Russian_Empire>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Dictatorship>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Fyodor_Dostoyevsky>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Victor_Hugo>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Edmond_Rostand>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Right-wing_politics>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Strike_action>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Atheism>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Nazism>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Colonialism>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Folklore>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Human_rights>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Torture>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Ancient_Rome>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/History>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Western_world>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Cannon>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Distillation>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Historicism>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Poland>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Pope_Clement_IV>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Isis>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Rosicrucianism>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Franciscan>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Eliphas_Levi>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Roman_emperor>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Egypt_(Roman_province)>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Mercury_(element)>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Corpse_Bride>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Barry_Lyndon>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Anthony_Adverse>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Doctor_Zhivago_(film)>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Quills>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Master_and_Commander:_The_Far_Side_of_the_World>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Conquest_(1937_film)>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Lloyd's_of_London_(film)>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/War_and_Peace_(film_series)>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/That_Hamilton_Woman>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/D%C3%A9sir%C3%A9e_(film)>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/The_Artist_(film)>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Les_Mis%C3%A9rables_(2012_film)>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Republic>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Ottoman_Empire>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Slavery>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Submarine>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/18th_century>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Draughts>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/French_Algeria>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Bombardment_of_Algiers_(1816)>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Alistair_Horne>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Muslim_conquests>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/France>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/French_conquest_of_Algeria>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Stephen_Decatur>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Sudan>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Egypt>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Hamitic>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Karl_Richard_Lepsius>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/History_of_tennis>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/George_Orwell>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Espionage>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Joseph_Stalin>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Operation_Barbarossa>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Red_Army>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Reign_of_Terror>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/World_War_II>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/History_of_the_Soviet_Union_(1927%E2%80%9353)>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Eastern_Front_(World_War_II)>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Permanent_revolution>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Carl_Friedrich_Gauss>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Pierre-Simon_Laplace>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Andorra>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Governor-General>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Co-Princes_of_Andorra>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Charlemagne>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Feudalism>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Iberian_Peninsula>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Spain>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/United_Nations>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Departments_of_France>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Perpignan>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Toulouse>	<http://dbpedia.org/ontology/wikiPageWikiLink>
