SELECT * WHERE 
{ 
	<http://dbpedia.org/resource/University_of_Glasgow> ?x ?y.
<http://dbpedia.org/ontology/abstract>	"The University of Glasgow (Scottish Gaelic: Oilthigh Ghlaschu, Latin: Universitas Glasguensis) is the fourth-oldest university in the English-speaking world and one of Scotland's four ancient universities. The university was founded in 1451 and is often ranked in the world's top 100 universities in tables compiled by various bodies. In 2013, Glasgow moved to its highest ever position, placing 51st in the world and 9th in the UK in the QS World University Rankings.In common with universities of the pre-modern era, Glasgow educated students primarily from wealthy backgrounds, but was also, with the University of Edinburgh, a leading centre of the Scottish Enlightenment during the 18th century. The University became a pioneer in British higher education in the 19th century by also providing for the needs of students from the growing urban and commercial middle classes. Glasgow served all of these students by preparing them for professions: the law, medicine, civil service, teaching, and the church. It also trained smaller but growing numbers for careers in science and engineering. In 2007, the Sunday Times ranked it as \"Scottish University of the Year.\" The university is a member of the Russell Group which represents the highest-ranked public research-based universities in the UK. It is also a member of Universitas 21, the international network of research universities.Originally located in the city's High Street, since 1870 the main University campus has been located at Gilmorehill in the West End of the city. Additionally, a number of university buildings are located elsewhere, such as the University Marine Biological Station Millport on the Island of Cumbrae in the Firth of Clyde and the Crichton Campus in Dumfries.Glasgow has departments of Law, Medicine, Veterinary Medicine, and Dentistry. Its submission to the most recent UK university research assessment was one of the broadest in the UK. Glasgow's financial endowment is the fifth largest (and fourth largest per head) among UK universities.Alumni or former staff of the University include philosopher Francis Hutcheson, engineer James Watt, economist Adam Smith, physicist Lord Kelvin, surgeon Joseph Lister, 1st Baron Lister, seven Nobel laureates, two British Prime Ministers, several leaders of Britain's and Scotland's major political parties, and numerous leading figures from legal, scientific and business professions. Entry to the university is highly competitive; applications for each place on many of its courses run into double figures, and successful entrants have on average almost 460 UCAS points. This ranks as the 12th highest among UK higher education institutions (\"Entry Standards\" – CUG University League Table 2014)."@en
<http://dbpedia.org/ontology/abstract>	"L'université de Glasgow, fondée en 1451 sous Jacques II d'Écosse, est la plus importante des trois universités à Glasgow, en Écosse. Elle fait partie des Ancient universities. C'est un centre d'enseignement et de recherche réputé. Parmi les universités d'Écosse, elle se classe seconde en ancienneté, l'université de St Andrews ayant été fondée en 1411. C'est aussi l'une des plus grandes et plus réputées du Royaume-Uni, bien qu'elle se place seconde derrière l'université d'Édimbourg du point de vue de sa population étudiante. Elle accueille plus de 25 000 étudiants.Elle a été un des grands centres de l'Art nouveau avec Charles Rennie Mackintosh, fondateur de la Glasgow School of Art. Elle est membre du réseau Universitas 21 et du Russell Group.Le 18 février 2014, Edward Snowden devient le recteur de l'Université."@fr
<http://dbpedia.org/ontology/abstract>	"L'Università di Glasgow è stata fondata nel 1451. È la seconda università più antica della Scozia e la quarta di tutto il mondo anglofono.Fu originariamente fondata attraverso una Bolla pontificia per volere di Papa Niccolò V, è ora considerata una delle università più prestigiose del Regno Unito."@it
<http://dbpedia.org/ontology/abstract>	"De Universiteit van Glasgow is een universiteit in de Schotse stad Glasgow. De universiteit werd in 1451 opgericht. Het is de op één na oudste universiteit van Schotland, en de op drie na oudste van het Verenigd Koninkrijk."@nl
<http://dbpedia.org/ontology/wikiPageOutDegree>	"326"^^<http://www.w3.org/2001/XMLSchema#integer>
<http://dbpedia.org/ontology/wikiPageID>	"39569"^^<http://www.w3.org/2001/XMLSchema#integer>
<http://dbpedia.org/ontology/wikiPageLength>	"59952"^^<http://www.w3.org/2001/XMLSchema#integer>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/French_Revolution>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Marriage>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Research>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/United_States>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Engineering>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Dominican_Order>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Pound_sterling>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/World_War_II>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/World_War_I>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Scotland>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/New_Zealand>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Industrial_Revolution>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/English_language>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/England>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Radiology>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/University_of_Aberdeen>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Open_University>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Albert_Einstein>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/James_George_Frazer>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Nobel_Prize>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Queen_Victoria>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/General_relativity>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/University_of_Oxford>
